T,n_regressors,scan_type,prob,crit_val,crit_val_se,n_finite,n_total
150,4,fw,0.01,-6.37375695913724,0.038011583133877,10000,10000
150,4,fw,0.05,-5.74195308248634,0.019204861636857,10000,10000
150,4,fw,0.1,-5.40610693095451,0.0146931744466788,10000,10000
200,4,fw,0.01,-6.37901475463539,0.0347611488908439,10000,10000
200,4,fw,0.05,-5.76973046766647,0.0237627106010665,10000,10000
200,4,fw,0.1,-5.44113359255795,0.0146889748538393,10000,10000
250,4,fw,0.01,-6.41911585376655,0.0415837955628207,10000,10000
250,4,fw,0.05,-5.75683990500151,0.0164475134831887,10000,10000
250,4,fw,0.1,-5.47841935047226,0.0142107249447759,10000,10000
300,4,fw,0.01,-6.3846598616095,0.0346517147388095,10000,10000
300,4,fw,0.05,-5.75485485388956,0.0214630862997052,10000,10000
300,4,fw,0.1,-5.46609711565646,0.014858716032913,10000,10000
400,4,fw,0.01,-6.48948756421215,0.0312284602742973,10000,10000
400,4,fw,0.05,-5.81005260848038,0.0189096551251053,10000,10000
400,4,fw,0.1,-5.48579779582648,0.0119363103542988,10000,10000
500,4,fw,0.01,-6.42958586112441,0.0337570396855162,10000,10000
500,4,fw,0.05,-5.81054960929875,0.0211920577502532,10000,10000
500,4,fw,0.1,-5.51801359798931,0.0128949619869556,10000,10000
700,4,fw,0.01,-6.39649553482122,0.0401152867739086,10000,10000
700,4,fw,0.05,-5.84135629517277,0.0191518501951231,10000,10000
700,4,fw,0.1,-5.52190495660487,0.0141192578835579,10000,10000
900,4,fw,0.01,-6.370769817305,0.0337862442899424,10000,10000
900,4,fw,0.05,-5.80895420313776,0.0169237982870406,10000,10000
900,4,fw,0.1,-5.52450676520748,0.0139546845047475,10000,10000
1000,4,fw,0.01,-6.39060506157822,0.0360901739393227,10000,10000
1000,4,fw,0.05,-5.80388936821838,0.0180887990098901,10000,10000
1000,4,fw,0.1,-5.53322138820562,0.0153569085436946,10000,10000
50,5,fw,0.01,-6.4524587504863,0.0366868960328682,10000,10000
50,5,fw,0.05,-5.71239818844425,0.0265009909378983,10000,10000
50,5,fw,0.1,-5.34915963684331,0.0151275995440023,10000,10000
75,5,fw,0.01,-6.66162932030859,0.0406169720121324,10000,10000
75,5,fw,0.05,-5.94063943949987,0.0176421489236326,10000,10000
75,5,fw,0.1,-5.59209239800168,0.0163448277279436,10000,10000
100,5,fw,0.01,-6.69543044772911,0.0507367585283058,10000,10000
100,5,fw,0.05,-6.00330451315007,0.0257164922435917,10000,10000
100,5,fw,0.1,-5.6822899384911,0.0125159774696399,10000,10000
150,5,fw,0.01,-6.66287329020115,0.0324389395826106,10000,10000
150,5,fw,0.05,-6.08954913761395,0.0210467614221064,10000,10000
150,5,fw,0.1,-5.75571197759406,0.0173509065490871,10000,10000
200,5,fw,0.01,-6.74241204015204,0.0324266442461212,10000,10000
200,5,fw,0.05,-6.12356372958723,0.0201383310880529,10000,10000
200,5,fw,0.1,-5.78591480418108,0.0110283361394301,10000,10000
250,5,fw,0.01,-6.71756579726516,0.0275021996008812,10000,10000
250,5,fw,0.05,-6.12014972881908,0.0167218569058507,10000,10000
250,5,fw,0.1,-5.82616877777793,0.0156561289570906,10000,10000
300,5,fw,0.01,-6.78926523243731,0.0459997603779577,10000,10000
300,5,fw,0.05,-6.12146453776183,0.020047783589501,10000,10000
300,5,fw,0.1,-5.82473132418783,0.0128414925786686,10000,10000
400,5,fw,0.01,-6.7096190160859,0.0303596158401806,10000,10000
400,5,fw,0.05,-6.12944845631204,0.0144616307130392,10000,10000
400,5,fw,0.1,-5.84074942023461,0.0147296129557605,10000,10000
500,5,fw,0.01,-6.73816269832341,0.0332106974059378,10000,10000
500,5,fw,0.05,-6.15301768556692,0.0211213219579628,10000,10000
500,5,fw,0.1,-5.83979035418416,0.0140158285114045,10000,10000
700,5,fw,0.01,-6.76659328794432,0.0374251514975936,10000,10000
700,5,fw,0.05,-6.16795169929548,0.0174424716101903,10000,10000
700,5,fw,0.1,-5.86657157791925,0.0129665235661704,10000,10000
900,5,fw,0.01,-6.74529900770225,0.0350564107809823,10000,10000
900,5,fw,0.05,-6.16049120892313,0.0154473817054665,10000,10000
900,5,fw,0.1,-5.86739229302365,0.0117078605805607,10000,10000
1000,5,fw,0.01,-6.71250078470121,0.0305621373331489,10000,10000
1000,5,fw,0.05,-6.15991123511467,0.015743207987756,10000,10000
1000,5,fw,0.1,-5.88880267401787,0.0129398882876756,10000,10000
50,6,fw,0.01,-6.81758858679211,0.0415756715019375,10000,10000
50,6,fw,0.05,-6.04474592760926,0.0197352733054426,10000,10000
50,6,fw,0.1,-5.67514867950692,0.0168969623283197,10000,10000
75,6,fw,0.01,-6.95075674272368,0.0466898397772855,10000,10000
75,6,fw,0.05,-6.27351459430882,0.0233082127510607,10000,10000
75,6,fw,0.1,-5.91619489586064,0.0172671200530986,10000,10000
100,6,fw,0.01,-7.06540135791466,0.0399632674828866,10000,10000
100,6,fw,0.05,-6.33401995848475,0.0234367456997914,10000,10000
100,6,fw,0.1,-6.01719185232625,0.0152639191093893,10000,10000
150,6,fw,0.01,-7.06916657964939,0.0515371416136895,10000,10000
150,6,fw,0.05,-6.38303103225543,0.0209696220791628,10000,10000
150,6,fw,0.1,-6.05182363890229,0.0139985361305844,10000,10000
200,6,fw,0.01,-7.08790682655492,0.04843327553846,10000,10000
200,6,fw,0.05,-6.41077486538866,0.018004378309904,10000,10000
200,6,fw,0.1,-6.10544025923405,0.014253157849645,10000,10000
250,6,fw,0.01,-7.04234308167223,0.0331243266003608,10000,10000
250,6,fw,0.05,-6.41701713022023,0.0176592002513737,10000,10000
250,6,fw,0.1,-6.10450227248585,0.0169294628625571,10000,10000
300,6,fw,0.01,-7.10157002221019,0.0513168038452963,10000,10000
300,6,fw,0.05,-6.43943595611401,0.0204229268988947,10000,10000
300,6,fw,0.1,-6.12197114647038,0.0151812536767412,10000,10000
400,6,fw,0.01,-7.123611072155,0.0413587709372476,10000,10000
400,6,fw,0.05,-6.45656676888112,0.0202975676000237,10000,10000
400,6,fw,0.1,-6.13598024138611,0.0135069579531939,10000,10000
500,6,fw,0.01,-7.12819409737701,0.0290442925904774,10000,10000
500,6,fw,0.05,-6.45712593759775,0.0180156676131552,10000,10000
500,6,fw,0.1,-6.14457313816263,0.0133640696886167,10000,10000
700,6,fw,0.01,-7.05800408627957,0.0260554776646559,10000,10000
700,6,fw,0.05,-6.46205436257638,0.0176553813509616,10000,10000
700,6,fw,0.1,-6.15972154277415,0.0132874236218633,10000,10000
900,6,fw,0.01,-7.11856564345424,0.0402025983901533,10000,10000
900,6,fw,0.05,-6.47852101198148,0.0134891869809688,10000,10000
900,6,fw,0.1,-6.19077533994698,0.0154525234364237,10000,10000
1000,6,fw,0.01,-7.07957517319875,0.0426976204525857,10000,10000
1000,6,fw,0.05,-6.46993298297124,0.0177882867499315,10000,10000
1000,6,fw,0.1,-6.18743791294316,0.0110902480590103,10000,10000
50,1,bw,0.01,-5.07369816260822,0.046948976255791,10000,10000
50,1,bw,0.05,-4.27881852406431,0.02519106659717,10000,10000
